えっ、うっせやん。	えっうせやん。
一つには、西洋人やないやつらが自分ら独自の文化に誇りを持ち始めてきたっちゅうことと、また一つは、フォーク使わへんとこはいっちゃん高い出生率の地域を抱えとるっちゅう理由から、これはまぁ合うとる。	ひとつにわ、せえよおじんやないやつらがじぶんらどくじのぶんかにほこりおもちはじめてきたっちゅうことと、またひとつわ、ふぉおくつかわへんとこわいっちゃんたかいしゅっしょおりつのちいきおかかえとるっちゅうりゆうから、これわまあおおとる。
私らは恐ろしいとこで生きとって、苦しんどるんや。	わたしらわおそろしいとこでいきとって、くるしんどるんや。
太陽も花も楽しめへんし、私らの子供時代も楽しめへんのよ。	たいよおもはなもたのしめへんし、わたしらのこどもじだいもたのしめへんのよ。
弊社のエンジニアが日本の中で売っとるよう似た奴と比べたらどないなっとるかと思って見たら、めっちゃええ感じでやってけそうな感じやった。	へえしゃのえんじにあがにほんのなかでうっとるよおにたやつとくらべたらどないなっとるかとおもってみたら、めっちゃええかんじでやってけそおなかんじやった。
ノースウエスタン大学の研究者、アイリーン・ペパーバーグは、オウムは人の口まねをするだけやなく言葉の意味を学ぶことができるちゅうことを発見しぃつつある。	のおすうえすたんだいがくのけんきゅうしゃ、あいりいん・ぺぱあばあぐわ、おうむわひとのくちまねおするだけやなくことばのいみおまなぶことができるちゅうことおはっけんしいつつある。
名前をテョといいます。	なまえおてょといいます。
ぴゅうぴゅう風が吹きこんでくる。	ぴゅうぴゅうかぜがふきこんでくる。
キェー。ギェー。イェーイ。	きぇえ。ぎぇえ。いぇえい。
ひぇーん。びぇーん。ぴぇーん。	ひぇえん。びぇえん。ぴぇえん。
プリミェー。ミェルン。ニェン。	ぷりみぇえ。みぇるん。にぇん。
ステューデント。ダブルデュアル。	すてゅうでんと。だぶるでゅある。
エテュード。エデュケーショナル。サブスティテューション。	えてゅうど。えでゅけえしょなる。さぶすてぃてゅうしょん。
ジャデャクシュ。	じゃでゃくしゅ。
ブレンドデョート。	ぶれんどでょおと。
イデュスルファーゼ。	いでゅするふぁあぜ。
あっあの。	あっあの。
いっいえ。	いっいえ。
えっえぇ。	えっえぇ。
おっおい。	おっおい。
んーとな。	んんとな。
アンツィオ。	あんつぃお。
エンツォ。	えんつぉ。
カートゥーン。	かあとぅうん。
スィーディー。	すぃいでぃい。
ズィーブラ。	ずぃいぶら。
デピュティーガバナー。	でぴゅてぃいがばなあ。
エリュシオン。	えりゅしおん。
ガリェント。	がりぇんと。
ラーテャン。	らあてゃん。
