あんたらこんなとこに居ったらあかんで。	あんたらこんなとこにいったらあかんで。
そういうことははよ言うてぇや。	そおいうことわはよいうてぇや。
あほか、はよ謝ってきぃ！	あほか、はよあやまってきぃ！
はよしぃ。	はよしぃ。
やかましわ。	やかましわ。
やかましい！	やかましい！
そんなん三個も四個も買えへんで！	そんなんさんこもよんこもかえへんで！
買いません！	かいません！
こないだも言うたやろが。	こないだもいうたやろが。
いつも言うてるやろ。	いつもいうてるやろ。
はよ食べな先生来はるで。	はよたべなせんせいくるはるで。
昨日お父さん来たはったん？	きのおおとおさんきたはったん？
そうゆうたら外でなんやしたはったなぁ。	そおゆうたらそとでなんやしたはったなぁ。
あんまちゃんと見てへんかったわ。	あんまちゃんとみてへんかったわ。
いやほんならゆうといたったらよかったなぁ、気ぃつかんかったわ。	いやほんならゆうといたったらよかったなぁ、きぃつかんかったわ。
ごめんごめん。	ごめんごめん。
ほっぺたにえらいでっかいおできぎょうさんこさえてどないしたん、せっかくのべっぴんさんが台なしやんか。	ほっぺたにえらいでっかいおできぎょうさんこさえてどないしたん、せっかくのべっぴんさんがだいなしやんか。
いつまでやってんねん。	いつまでやってんねん。
何回ゆわすねん。	なんかいゆわすねん。
ほんまたいがいにしぃや。	ほんまたいがいにしぃや。
次もうゆえへんで。	つぎもおゆえへんで。
ええからはよして。	ええからはよして。
うそやん。	うそやん。
いやほんまぁ、よかったやんおめでとう、がんばってやったもんなぁ。	いやほんまぁ、よかったやんおめでとお、がんばってやったもんなぁ。
ゆうてへんがなそんなこと。	ゆうてへんがなそんなこと。
ようゆうわ。	よおゆうわ。
はずかしやん、やめてぇや。	はずかしやん、やめてぇや。
またうまいことゆうて。	またうまいことゆうて。
行けたら行くわ。	いけたらいくわ。
なんでやねんな。	なんでやねんな。
あかんで。	あかんで。
せぇへんで。	せぇへんで。
そんなんようせんわ。	そんなんよおせんわ。
できひんて。	できひんて。
なんてゆうたはった？	なんてゆうたはった？
おっちゃんいてはった？	おっちゃんいてはった？
しゃあないなぁ、まけといたるわ、今日だけやで。	しゃあないなぁ、まけといたるわ、きょおだけやで。
ええかげんなやっちゃなぁ。	ええかげんなやっちゃなぁ。
そんなええかげんなことばっかりしてたらほんまそのうちえらい目あうで。	そんなええかげんなことばっかりしてたらほんまそのうちえらいめあうで。
何回もゆわさんといて。	なんべんもゆわさんといて。
せやからゆうたやん。	せやからゆうたやん。
ほんまにええん？	ほんまにええん？
めっちゃ助かるわぁ、ありがとう。	めっちゃたすかるわぁ、ありがとお。
まいどおおきに。	まいどおおきに。
安うしとくからなんかこうてって。	やすうしとくからなんかこおてって。
あかんわこれ。	あかんわこれ。
えらこっちゃ、忘れとった。	えらこっちゃ、わすれとった。
ようゆわんわ。	よおゆわんわ。
お嬢ちゃん何歳？かいらしねぇ。	おじょうちゃんなんさい？かいらしねぇ。
お母さんどこいったん？	おかあさんどこいったん？
ほんまかいな、ほんならおばちゃんと一緒に待ってよか。	ほんまかいな、ほんならおばちゃんといっしょにまってよか。
あめちゃんあんで、食べるか？	あめちゃんあんで、たべるか？
ちょお、やめてぇや。	ちょお、やめてぇや。
あかんあかん。	あかんあかん。
ほんまかいな。	ほんまかいな。
ほんまほんま。	ほんまほんま。
ほんまにええんか？	ほんまにええんか？
せや、あんたあれどこやったん。	せや、あんたあれどこやったん。
もうてへんわ。	もおてへんわ。
なんや今日もうしんどいわ、やめやめ。	なんやきょおもおしんどいわ、やめやめ。
アホなことばっかりゆうて相手してられんわ。	あほなことばっかりいってあいてしてられんわ。
お前なぁ…。	おまえなぁ。
あとでこれほっといて。	あとでこれほっといて。
大事なもんやったらしっかりしもとき。	たいじなもんやったらしっかりしもとき。
ほんまにちゃんとしもたんか？	ほんまにちゃんとしもたんか？
またそこらへんほったらかしにしてたんちゃうん。	またそこらへんほったらかしにしてたんちゃうん。
いっこも見てへんで。	いっこもみてへんで。
こんなとこおいとったらなくすで。	こんなとこおいとったらなくすで。
いっこもうてもええー？	いっこもおてもえええ？
いらんねやったらみんな食べてまうで。	いらんねやったらみんなたべてまうで。
なぁて、さっきの電話なんてゆうたはったん？	なぁて、さっきのでんわなんてゆうたはったん？
なんやようわからん。	なんやよおわからん。
しらん、どうせまたセールスちゃうか。	しらん、どおせまたせえるすちゃうか。
なんや。	なんや。
忙し時に何回もかけてくんなっちゅうねん。	いそがしときになんべんもかけてくんなっちゅうねん。
おかんどこ行ったん？	おかんどこいったん？
しらん、かいもんちゃうか。	しらん、かいもんちゃうか。
おとんおらんの？	おとんおらんの？
なんやお客さん来てて遅なるらしいで。	なんやおきゃくさんきてておそなるらしいで。
晩ごはん何？	ばんごはんなに？
またたこ焼きかいな、ばあちゃんそればっかりやん、ほんま好っきゃなぁ。	またたこやきかいな、ばあちゃんそればっかりやん、ほんますっきゃなぁ。
じいちゃんちょっとこれゆうたって。	じいちゃんちょっとこれゆうたって。
そんなん急に言われてもわし大阪弁しかしゃべれんし。	そんなんきゅうにいわれてもわしおおさかべんしかはなれんし。
ねえちゃん大阪帰ってくんのん？	ねえちゃんおおさかかえってくんのん？
にいちゃんの大阪土産やて。	にいちゃんのおおさかみやげやて。
関西ゆうても広いからなぁ。	かんさいゆうてもひろいからなぁ。
でかけんねやったら帰りにマクドこうてきて。	でかけんねやったらかえりにまくどこおてきて。
店どこも閉まっとったからミスドだけこうてきたわ。	みせどこもしまっとったからみすどだけこおてきたわ。
そないゆうたら先週あんたになんや来とったで。	そないゆうたらせんしゅうあんたになんやきとったで。
あんた寝てる間スマホずっとピコピコしとったで。	あんたねてるあいだすまほずっとぴこぴこしとったで。
わざとちゃうわ、忘れてたんや。	わざとちゃうわ、わすれてたんや。
いややったら自分でしぃ。	いややったらじぶんでしい。
ひさしぶりやん、角まで一緒に帰ろか。	ひさしぶりやん、かどまでいっしょにかえろか。
なあなあ、数学のテストどないやった？	なあなあ、すうがくのてすとどないやった？
うちは体育の後やったからめっちゃ眠たかったわ、五時間目はあかんねん。	うちわたいくのあとやったからめっちゃねむたかったわ、ごじかんめわあかんねん。
たしかにごはんの後はあかんわ、なんか時間割がいけずやったな。	たしかにごはんのあとわあかんわ、なんかじかんわりがいけずやったな。
そうゆうたら聞いた？	そおゆうたらきいた？
田中ちゃん、お子さんできたから結婚しはんねんて。	たなかちゃん、おこさんできたからけっこんしはんねんて。
えっ、音楽の先生ほんまにやめはるん？	えっ、おんがくのせんせいほんまにやめはるん？
ほんなら次どないしはるんやろ。	ほんならつぎどないしはるんやろ。
次の先生めっちゃイケメンやったらええのになぁ。	つぎのせんせいめっちゃいけめんやったらええのになぁ。
ほんまやな、イケメンええな。	ほんまやな、いけめんええな。
なぁ、試験終わったらどないする？	なぁ、しけんおわったらどないする？
どないって何が？	どないってなにが？
うちらごっつがんばったやん？	うちらごっつがんばったやん？
ひらパーか海遊館行こか思てたけど、もっとええとこないかな思て。	ひらぱあかかいゆうかんいこかおもてたけど、もっとええとこないかなおもて。
そやな、ディズニーランドとかどやろ、めっちゃバイトせんなんけど。	そやな、でぃずにいらんどかどやろ、めっちゃばいとせんなんけど。
それええな、めっちゃ卒業旅行って感じするわ、でもゆうほどお金ないねよな。	それええな、めっちゃそつぎょうりょこおってかんじするわ、でもゆうほどおかねないねよな。
わたしも受験終わったらバイトしぃたいけどおかん絶対勉強勉強ってまたうるさいわ。	わたしもじゅけんおわったらばいとしいたいけどおかんぜったいべんきょおべんきょおってまたうるさいわ。
おなかすいたわ、とりあえずファミレス行こか。	おなかすいたわ、とりあえずふぁみれすいこか。
せやな、何はさておきまずは腹ごしらえや。	せやな、なにわさておきまずわはらごしらえや。
新しいパフェ出てたやんな、あかんわ、また肥えてまいそうやわ。	あたらしいぱふぇでてたやんな、あかんわ、またこえてまいそおやわ。
気にしたあかん、ダイエットは明日からっておかんもいっつもゆうてる。	きにしたあかん、だいえっとわあしたからっておかんもいっつもゆうてる。
なにそれどこでこうたん、めっちゃかわいいやん！	なにそれどこでこおたん、めっちゃかわいいやん！
なんぼしたん？	なんぼしたん？
うそやん手作りでこんなん作れんの、自分天才ちゃうん。	うそやんてづくりでこんなんつくれんの、じぶんてんさいちゃうん。
すごいなめっちゃええやん、こんな細かいのんようやるわ。	すごいなめっちゃええやん、こんなこまかいのんよおやるわ。
みっちゃんよう似合てるわ、京都の舞妓はんみたいや。	みっちゃんよおにおてるわ、きょおとのまいこはんみたいや。
上手やな、そんなおだててもなんも出ぇへんで。	じょうずやな、そんなおだててもなんもでぇへんで。
おかえり、どやった？	おかえり、どやった？
あかんわめっちゃ緊張してもおた。	あかんわめっちゃきんちょうしてもた。
まさかあかんかったん？	まさかあかんかったん？
そうゆうわけやないけど、めっちゃ困った顔したはったし、絶対変なやつや思われたわ。	そおゆうわけやないけど、めっちゃこんらんしたかおしたし、ぜったいへんなやつやおもわれたわ。
そんなことないて、先輩めっちゃうれしそうにしたはったやん。	そんなことないて、せんぱいめっちゃうれしそおにしたはったやん。
恥ずすぎて明日から顔合わされへんわ。	はずすぎてあしたからかおあわされへんわ。
大丈夫やって、気にしすぎや、もっと自信持ち。	だいじょうぶやって、きにしすぎや、もっとじしんもち。
自信はないけど、今日は着いて来てくれてありがとうな。	じしんわないけど、きょおわきいてきてくれてありがとおな。
ええよこのぐらい、なんぼでもゆうて。	ええよこのぐらい、なんぼでもゆうて。
水くさいな、うちらの仲やんか。	みずくさいな、うちらのなかやんか。
あ、先生らこれからどっか行かはるんですか？	あ、せんせいらこれからどっかいかはるんですか？
ちゃいますよ、なんもしてませんよ。	ちゃいますよ、なんもしてませんよ。
妹の誕生日やし今日ははよ帰ろかな思て。	いもおとのたんじょうびやしきょおわはよかえろかなおもて。
また今度誘てな。	またこんどさそてな。
せや、あんた昨日のオリンピック見た？	せや、あんたきのおのおりんぴっくみた？
あれめっちゃかっこよなかった？	あれめっちゃかっこよなかった？
ほんまあれどないなってんねやろな。	ほんまあれどないなってんねやろな。
うちお父さんが持ってんで、貸したろか？	うちおとおさんがもってんで、かしたろか？
誰もつこてへんし別にええで。	だれもつこてへんしべつにええで。
そんなん大事に大事にしもといてもしゃあないやん。	そんなんだいじにだいじにしもといてもしゃあないやん。
のしつけて返しますがな。	のしつけてかえしますがな。
ほんなら帰りにもらいにいくわ。	ほんならかえりにもらいにいくわ。
ついでにちょっとおじいちゃんに会うてったって。	ついでにちょっとおじいちゃんにおおてったって。
えらいお疲れやね、ゆっくりしていき。	えらいおつかれやね、ゆっくりしていき。
ほんまごめんな。	ほんまごめんな。
うわ、ほんまに全部一人で食べたん？	うわ、ほんまにぜんぶひとりでたべたん？
ごめん、つい食べてもうた。	ごめん、ついたべてもおた。
ちっこいおなかやのにようそんな入んなぁ。	ちっこいおなかやのによおそんなはいんなぁ。
せやせや、ようゆうてくれたわ。	せやせや、よおゆうてくれたわ。
なんやこれむずすぎるやろ。	なんやこれむずすぎるやろ。
ようそんなん知ってんな、さすがええとこのぼんぼんや。	よおそんなんしってんな、さすがええとこのぼんぼんや。
あほなこといいなや。	あほなこといいなや。
できるわけあるかいなそんなもん。	できるわけあるかいなそんなもん。
別になんもむずない、やれる時にやったらええだけや。	べつになんもむずかい、やれるときにやったらええだけや。
ごちゃごちゃゆうてんとなんしか手ぇ動かし。	ごちゃごちゃゆうてんとなんしかてぇうごかし。
なんぼ泣いてもやらなおわれへんで。	なんぼないてもやらなおわれへんで。
これももうどけてまおか、ぎっちぎちに干したあるけど乾いてんかこれ。	これももおどけてまおか、ぎっちぎちにほしたあるけどかわいてんかこれ。
知らんけどめんどくさいし全部入れといたらええやろ。	しらんけどめんどくさいしぜんぶいれといたらええやろ。
ほんまええかげんなやっちゃな。	ほんまええかげんなやっちゃな。
なんかあったらごめんなさいゆうたらええねん。	なんかあったらごめんなさいゆうたらええねん。
そんなんおかんやったるやん、貸してみ。	そんなんおかんやったるやん、かしてみ。
ええわ、いらんて。	ええわ、いらんて。
なんでぇな、ちょっと見してみぃて。	なんでぇな、ちょっとみしてみぃて。
あいつほんまいらんことしぃやな。	あいつほんまいらんことしぃやな。
儲かりまっか？	もおかりまっか？
ぼちぼちでんな。	ぼちぼちでんな。
なんやそれ、あほらし。	なんやそれ、あほらし。
このピッツァマルゲリータが目に入らんか。	このぴっつぁまるげりいたがめにはいらんか。
なんでそないなんねん。	なんでそないなんねん。
そんなええもんちゃうわ、なんかもうちょっとそれっぽいやつないん？	そんなええもんちゃうわ、なんかもおちょっとそれっぽいやつないん？
最後の方絶対ちゃうやろが。	さいごのほおぜったいちゃうやろが。
バレてもた？	ばれてもた？
ほんまにそんなやったらあかんよ、わかってる？	ほんまにそんなやったらあかんよ、わかってる？
自分でちゃんとせなあかんで。	じぶんでちゃんとせなあかんで。
あそこの店そんなん売ってんねや、めずらしね。	あそこのみせそんなんうってんねや、めずらしね。
そらせやろ、そんなもん比べたらあかんやろ。	そらせやろ、そんなもんくらべたらあかんやろ。
やったんはやったけどもっかいせんなんわ。	やったんわやったけどもっかいせんなんわ。
まいど、また来てな。	まいど、またきてな。
あんたほんま目ぇ悪なんで。	あんたほんまめぇわるなんで。
覚えてへんの？	おぼえてへんの？
手ぇあろといで。	てぇあろといで。
なんやここ、お好み焼きあれへんがな。	なんやここ、おこのみやきあれへんがな。
おばあちゃん、かしわの唐揚げあんで。	おばあちゃん、かしわのからあげあんで。
ほんまいらんことしいのあかんたれやな、この子は。	ほんまいらんことしいのあかんたれやな、このこわ。
今日ははよ寝んなんからはよ食べてまい。	きょおわはよねんなんからはよたべてまい。
焼きそばぐらいなんぼでも作ったるから喧嘩しな。	やきそばぐらいなんぼでもつくったるからけんかしな。
せっかくミナミ来たし通天閣んとこで串カツ食べてからえべっさん行こか。	せっかくみなみきたしつうてんかくんとこでくしかつたべてからえべっさんいこか。
どこで拾てきたんよそんなもん。	どこでひろてきたんよそんなもん。
もうええわ。	もおええわ。
しつこいで。	しつこいで。
なんべんも言わさんといてゆうてるやろ。	なんべんもいわさんといてゆうてるやろ。
ちゃんと前見て歩き。	ちゃんとまえみてあるき。
出しっぱなしにしといたらあかんで。	だしっぱなしにしといたらあかんで。
いちいち数えんでええねん、もうほっといてんか。	いちいちかぞえんでええねん、もおほっといてんか。
好きにしなはれ。	すきにしなはれ。
買うたらええがな。	こおたらええがな。
おかあちゃんとおとうちゃんに聞いとくわ。	おかあちゃんとおとおちゃんにきいとくわ。
スーパーに駄菓子屋のおばちゃんいたはったわ。	すうぱあにだがしやのおばちゃんいたはったわ。
あんたちっちゃい時あそこのお兄ちゃんらによう遊んでもうてんで、覚えてる？	あんたちっちゃいときあそこのおにいちゃんらによおあそんでもおてんで、おぼえてる？
ちょっと見いひん間にえらい重たなったなぁ、もう何年生？	ちょっとみいひんまにえらいおもたなったなぁ、もおなんねんせえ？
ほんまか、大きなったなあ、学校行ったら勉強がんばりや。	ほんまか、おおきなったなあ、がっこおいったらべんきょおがんばりや。
みんなで大事に使い、弟と妹にもいっぱいさしたってな。	みんなでだいじにつかい、おとおとといもおとにもいっぱいさしたってな。
いっぺん試しに使てみたらは？	いっぺんためしにつこてみたらわ？
家でよう相談して、ほんでから決めたらええやん。	うちでよおそおだんして、ほんでからきめたらええやん。
誰にも内緒やで。	だれにもないしょやで。
ごはん多めに炊いといたけどあの子らぎょうさん食べるし足りひんのちゃう、みたらし団子も買うとこか。	ごはんおおめにたいといたけどあのこらぎょおさんたべるしたりひんのちゃう、みたらしだんごもこおとこか。
もうええっちゅうねん、おかんあいつらになんぼほど食べさす気やねん。	もおええっちゅうねん、おかんあいつらになんぼほどたべさすきやねん。
せやけど取り合いなったらかわいそやんか。	せやけどとりあいなったらかわいそやんか。
なるかあほ、そんだけ食べさしたら相撲取りなるわ。	なるかあほ、そんだけたべさしたらすもおとりなるわ。
なれへんよそんなん、あの子らどんだけ食べてもガリガリやんかうらやましい。	なれへんよそんなん、あのこらどんだけたべてもがりがりやんかうらやましい。
そんなんゆうんやったらおかんも運動したらええねん。	そんなんゆうんやったらおかんもうんどおしたらええねん。
あかんわおかん最近腰痛いねん、もう年やわ、年寄りやわ。	あかんわおかんさいきんこしいたいねん、もおとしやわ、としよりやわ。
どうせ後でおなかすいたゆうねんからしっかり食べとき。	どおせあとでおなかすいたゆうねんからしっかりたべとき。
わしよりようしゃべる癖にどこがやねん。	わしよりよおしゃべるくせにどこがやねん。
せやなぁ、ぼちぼちやらんなんなぁ。	せやなぁ、ぼちぼちやらんなんなぁ。
じいちゃんに似てきたなぁ、すっかりいっちょまえやねぇ。	じいちゃんににてきたなぁ、すっかりいっちょまえやねぇ。
ほんまにみんな持ってんねんて、なぁ買うてぇやぁ。	ほんまにみんなもってんねんて、なぁこおてぇやぁ。
そんなお金はどこにもおまへん、だいたいみんなて誰や。	そんなおかねわどこにもおまへん、だいたいみんなてだれや。
そんなんゆうたかてあれへんもんはあれへん、自分でどないかしぃ。	そんなんゆうたかてあれへんもんわあれへん、じぶんでどないかしぃ。
よそはよそ、うちはうちや。	よそわよそ、うちわうちや。
やったらできるやんか、めっちゃきれなったやん。	やったらできるやんか、めっちゃきれなったやん。
おうたらちゃんとお礼ゆうといてよ！	おおたらちゃんとおれえゆうといてよ！
えらいおもろそうなことしてるやん、なんで声かけてくれへんかったんよ、わたしも呼んでぇや。	えらいおもろそおなことしてるやん、なんでこえかけてくれへんかったんよ、わたしもよんでぇや。
五十日やしえらい混んどったんちゃうん？	ごとおびやしえらいこんどったんちゃうん？
なんぼもせんうちにゆうてくんなや、せわしないやっちゃなぁ。	なんぼもせんうちにゆうてくんなや、せわしないやっちゃなぁ。
薬ばっかりこんな持たされたら重うてかなわんわ、おなかタプタプなんで。	くすりばっかりこんなもたされたらおもおてかなわんわ、おなかたぷたぷなんで。
先生ついでに男前にしといてんか。	せんせえついでにおとこまえにしといてんか。
お父さんまた調子ええことばっかりゆうて、もう相手せんといてください。	おとおさんまたちょおしええことばっかりゆうて、もおあいてせんといてください。
元が元やねんからそない変わるかいな、むちゃくちゃゆうわ。	もとがもとやねんからそないかわるかいな、むちゃくちゃゆうわ。
なんも痛ない、そんなんでいちいち泣けへんよ。	なんもいたない、そんなんでいちいちなけへんよ。
なんぼほど待たすねん、日ぃ暮れてまうわ。	なんぼほどまたすねん、ひぃくれてまうわ。
いやもへったくれもあれへん！	いやもへったくれもあれへん！
えらい待たしてもうてすんまへんなぁ。	えらいまたしてもおてすんまへんなぁ。
重た、こんなん腰いわすわ。	おもた、こんなんこしいわすわ。
家で娘さん待ったはんのん？	うちでむすめさんまったはんのん？
ほんなはよせなあかんねぇ。	ほんなはよせなあかんねぇ。
息子さんにも手伝うてもうてね、重たいから絶対一人でやったらあかんよ。	むすこさんにもてつどおてもおてね、おもたいからぜったいひとりでやったらあかんよ。
はいはい、なんべんもゆわんでもわかてんがな。	はいはい、なんべんもゆわんでもわかてんがな。
あかんわもういっこも歩かれへん、くたびれたわ、おなかぺこぺこや。	あかんわもおいっこもあるかれへん、くたびれたわ、おなかぺこぺこや。
おかんしんどいから自分でごはんよそといて。	おかんしんどいからじぶんでごはんよそといて。
そんなん一個ずつちんたら運んでられへんやろ、ばあちゃん持ったるからみんなここ入れてまい。	そんなんいっこずつちんたらはこんでられへんやろ、ばあちゃんがもったるからみんなここいれてまい。
こんなちっさいもんがなんでそんなすんねんな、ぼったくりやんか。	そんなちっさいもんがなんでそんなすんねんな、ぼったくりやんか。
いっつもあんたとこでぎょうさん買うたってるやんか、なんぼかまけてぇな。	いっつもあんたとこでぎょおさんこおたってるやんか、なんぼかまけてぇな。
そうかあいつにゆうてもそないなるんか、えらこっちゃやなぁ、ほなどうしょうかな。	そおかあいつにゆうてもそないなるんか、えらこっちゃやなぁ、ほなどおしょおかな。
あんな、前から思ててんけど、大判焼きって御座候に似てへん？	あんな、まえからおもててんけど、おおばんやきってござそおろおににてへん？
またいつものとっからようわからん電話やわ、しつこいなぁ。	またいつものとっからよおわからんでんわ、しつこいなぁ。
どんだけかけてもおらんもんわおらんっちゅうねん。	どんだけかけてもおらんもんわおらんっちゅうねん。
もうないわ、こんでもう終わりや終わり。	もおないわ、こんでもおおわりやおわり。
ほなまたね、気ぃつけて帰りや。	ほなまたね、きぃつけてかえりや。
よかったねぇ、おめでとうさん。	よかったねぇ、おめでとおさん。
いやほんまにええん？	いやほんまにええん？
ほなもうとくで？	ほなもおとくで？
あかんかったらまたゆうてよ？	あかんかったらまたゆうてよ？
どないしょうかな、いっぺんやってはみるけど、あかんかったらごめんな？	どないしょうかな、いっぺんやってわみるけど、あかんかったらごめんな？
蕎麦屋の出前やないけど、そんなんゆうてる間に来るんちゃうか。	そばやのでまえやないけど、そんなんゆうてるまにくるんちゃうか。
聞いたで、えらい大変やってんて？	きいたで、えらいたいへんやってんて？
ほんまなぁ、せやけどなんものうてよかったやん。	ほんまなぁ、せやけどなんものおてよかったやん。
これで向こう怪我でもしてたらえらいこっちゃで、なぁ？	これでむこおけがでもしてたらえらいこっちゃで、なぁ？
なんぼも使てへんのになんで動けへんねんこれ、おかしいやん、バッタモンちゃうか。	なんぼもつかへんのになんでうごけへんねんこれ、おかしいやん、ばったもんちゃうか。
まぁしゃあないわ、あほなことゆうてんとやってまお。	まぁしゃあないわ、あほなことゆうてんとやってまお。
おっちゃんもわざとやないねんからしゃあないがな。	おっちゃんもわざとやないねんからしゃあないがな。
そうゆうたらあの話ってほんまですのん？	そおゆうたらあのはなしってほんまですのん？
いいやわぁ、なんでぇな、全然ちゃうよ。	いいやわぁ、なんでぇな、せんぜんちゃうよ。
ほんまやっとこさやで。	ほんまやっとこさやで。
あんたなぁ、遅なるんやったら遅なるで電話ぐらいしぃ。	あんたなぁ、おそなるんやったらおそなるででんわぐらいしぃ。
いっこも帰ってけぇへんしどないなってるんか思て心配したやんか。	いっこもかえってけぇへんしどないなってるんかおもてしんぱいしたやんか。
おばちゃんもゆうたってください、ほんまいっこもゆうこと聞けへん。	おばちゃんもゆうたってください、ほんまいっこもゆうこときけへん。
ほんで結局どないしたんよ、ちゃんとあったん？	ほんでけっきょくどないしたんよ、ちゃんとあったん？
そうかもう七五三か、お嬢ちゃんも綺麗なおべべ着せてもうて、みんなおそろいでよろしですなぁ。	そおかもおしちごさんか、おじょうちゃんもきれいなおべべきせてもおて、みんなおそろいでよろしですなぁ。
堪忍堪忍、すっかり忘れとったわ、お宮さん今日やったなぁ。	かんにんかんにん、すっかりわすれとったわ、おみやさんきょおやったなぁ。
時間ないさかい服もうこれでええやろ、とりあえず行こか。	じかんないさかいふくもおこれでええやろ、とりあえずいこか。
あんたなんか忘れてへんか？	あんたなんかわすれてへんか？
鍵や鍵、なんでおこづかいやねん。	かぎやかぎ、なんでおこづかいやねん。
今ちょっと忙しねん、後にしてんか。	いまちょっといそがしん、あとにしてんか。
もうおばあちゃんそんなんええて、いらんて。	もおおばあちゃんそんなんええて、いらんて。
ぎょうさん家にあるからそんなん。	ぎょおさんいえにあるからそんなん。
もうほんま気ぃ使わんでええて、気持ちだけもうとくから。	もおほんまきぃつかわんでええて、きもちだけもおとくから。
ほんなまた今度なんかしたって、もうそれでええから。	ほんなまたこんどなんかしたって、もおそれでええから。
もういっつもありがとう、ごめんな。	もおいっつもありがとお、ごめんな。
ほなまた来るわな、おやすみ。	ほなまたくるわな、おやすみ。
やっぱり田中さんいたはれへんかった？	やっぱりたなかさんいたはれへんかった？
あそこの家いっつもせやねん、またどっかで会うた時にでもゆうとくわ。	あそこのいえいっつもせやねん、またどっかでおおたときにでもゆうとくわ。
なんでやねんな、人をバケモンみたいに。	なんでやねんな、ひとおばけもんみたいに。
