えっ、うっせやん。	えっうせやん。
弊社のエンジニアが日本の中で売っとるよう似た奴と比べたらどないなっとるかと思って見たら、めっちゃええ感じでやってけそうな感じやった。	へえしゃのえんじにあがにほんのなかでうっとるよおにたやつとくらべたらどないなっとるかとおもってみたら、めっちゃええかんじでやってけそおなかんじやった。
ノースウエスタン大学の研究者、アイリーン・ペパーバーグは、オウムは人の口まねをするだけやなく言葉の意味を学ぶことができるちゅうことを発見しぃつつある。	のおすうえすたんだいがくのけんきゅうしゃ、あいりいん・ぺぱあばあぐわ、おうむわひとのくちまねおするだけやなくことばのいみおまなぶことができるちゅうことおはっけんしいつつある。
んーとな。	んんとな。
女の子がキッキッ嬉しそうや。	おんなのこがきっきっうれしそおや。
ハイチ共和国でトゥーサンルーヴェルテュールが勝利を収められたんは、実際黄熱病のおかげやった。	はいちきょおわこくでとぅうさんるうヴぇるてゅうるがしょおりおおさめられたんわ、じっさいおおねつびょおのおかげやった。
レジャンドルは民衆をテュルリー宮殿に招ぇた。	れじゃんどるわみんしゅうおてゅるりいきゅうでんにまねえた。
助言はできへんとデュパンは言うた。	じょげんわできへんとでゅぱんわゆうた。
フランス人シェフと日本人シェフは全然ちゃう。	ふらんすじんしぇふとにほんじんしぇふわぜんぜんちゃう。
揺れるフェリーに乗るんは私にとって苦行や。	ゆれるふぇりいにのるんわわたしにとってくぎょおや。
ホルロ・アラ・ティタルッフォっちゅう特別な料理も出たんや。	ほるろ・あら・てぃたるっふぉっちゅうとくべつなりょおりもでたんや。
笛の音がなったらウサギのキッドが早速ぴょんと跳ねた。	ふえのおとがなったらうさぎのきっどがさっそくぴょんとはねた。
あの旅客は噂のキャフェに行くようや。	あのりょきゃくわうわさのきゃふぇにいくよおや。
目標は一等賞や。	もくひょおわいっとおしょおや。
ウサギのキッドは気分よぉピョン、またピョンと飛び続けた。	うさぎのきっどわきぶんよぉぴょん、またぴょんととびつづけた。
アフタヌーンティーを楽しもか。	あふたぬうんてぃいおたのしもか。
彼女はティピカルなフェミニストや。	かのじょわてぃぴかるなふぇみにすとや。
助手らぁとミッツィは探しとる書類を見つけられなんだ。	じょしゅらあとみっつぃわさがしとるしょるいおみつけられなんだ。
フィレンツェ、パドヴァ、ヴェネツィアはどれもイタリアの都市や。	ふぃれんつぇ、ぱどヴぁ、ヴぇねつぃあわどれもいたりあのとしや。
楽譜へ次のように書いてあるんが、エーフェリチェです。	がくふえつぎのよおにかいてあるんが、ええふぇりちぇです。
早いとこ召使い全員に知らせたろ。	はやいとこめしつかいぜえいんにしらせたろ。
重たい綿入を脱いで、あわせへ着替える。	おもたいわたいれおぬいで、あわせえきがえる。
ボストンで、とあるチョプスイ屋へ入って夕飯を食ぅた。	ぼすとんで、とあるちょぷすいやえはいってゆうはんおくうた。
ろくすっぽ休憩をとらんと働いた。	ろくすっぽきゅうけえおとらんとはたらいた。
かつて一人で国府へ侵入した。	かつてひとりでこくふえしんにゅうした。
せやけど、今日お前がここへ御入来になったんは、どないなご用なん？	せやけど、きょおおまえがここえごじゅらいになったんわ、どないなごよおなん？
いつもの通りギャンギャン泣き出しよった。	いつものとおりぎゃんぎゃんなきだしよった。
先生は、立ったままニュースを見とりました。	せんせえわ、たったままにゅうすおみとりました。
私はギョッと目ぇを見開いた。	わたしわぎょっとめえおみひらいた。
せや、最近きやへん友達へニューイヤーカードを送ったろ。	せや、さいきんきやへんともだちえにゅういやあかあどおおくったろ。
家政婦は休みに洒落たアウターウェアに身を包み一人で屋台を楽しんだ。	かせえふわやすみにしゃれたあうたあうぇあにみおつつみひとりでやたいおたのしんだ。
ウォッカのお供には塩漬けのきゅうりがあうで。	うぉっかのおともにわしおづけのきゅうりがあうで。
山の向こうのミュンヒェンの人らぁが攻撃をしかけた。	やまのむこおのみゅんひぇんのひとらあがこおげきおしかけた。
シルヴィウスはデュボアと呼ばれとったフランスのユグノーの家に生まれた。	しるヴぃうすわでゅぼあとよばれとったふらんすのゆぐのおのいえにうまれた。
そのほかにあたしに出来ることはなかったんです、百合枝は涙声んなった。	そのほかにわたしにできることわなかったんです、ゆりえわなみだごえになった。
写経の美しさに私は仰天してしもおた。	しゃきょおのうつくしさにわたしわぎょおてんしてしもおた。
ソプラノ歌手ポリランダチョは歌劇アイーダの特別名歌手と評判や。	そぷらのかしゅぽりらんだちょわかげきあいいだのとくべつめえかしゅとひょおばんや。
あんた最初百ポンド渡したやろ、足りやんのか、がめついなぁあんたもぉ。	あんたさいしょひゃくぽんどわたしたやろ、たりやんのか、がめついなああんたもお。
社長がしたってくれ言うたはったでなぁ。	しゃちょおがしたってくれゆうたはったでなあ。
どうも気まぐれっちゅうもんは多少メフィスティックなもんであるらしい。	どおもきまぐれっちゅうもんわたしょおめふぃすてぃっくなもんであるらしい。
蛙がピョコピョコ飛び回っとります。	かえるがぴょこぴょことびまわっとります。
ヴァンダーヴォットタイム中は、いわゆるパーティーのようで晴れやかや。	ヴぁんだあヴぉっとたいむちゅうわ、いわゆるぱあてぃいのよおではれやかや。
スピリッツっちゅうんは蒸留酒の事です。	すぴりっつっちゅうんわじょおりゅうしゅのことです。
ちょうどそんとき、デストゥパーゴがコップをもって立ちあがりました。	ちょおどそんとき、ですとぅぱあごがこっぷおもってたちあがりました。
パフィーのグッズが残らんと部屋に落ち着いた。	ぱふぃいのぐっずがのこらんとへやにおちついた。
エピファーノフは財布どっかやったった。	えぴふぁあのふわさいふおなくした。
ポピュラーなソフトを使てセキュアな状態を復旧する。	ぽぴゅらあなそふとおつこてせきゅあなじょおたいおふっきゅうする。
チョコの在庫あったやろか？	ちょこのざいこあったやろか？
おめえ、これ仕込んだるのに、どんだけ時間かかるか知っとるか。	おめえ、これしこんだるのに、どんだけじかんかかるかしっとるか。
それに、このほうが体のためにゃずっとええんやからね。	それに、このほおがからだのためにゃずっとええんやからね。
八つになるウォルターと一緒に出た兄弟がおったが、ウォルターだけ発見された。	やっつになるうぉるたあといっしょにでたきょおだいがおったが、うぉるたあだけはっけんされた。
最初のジョブはウォーリアがええと思います。	さいしょのじょぶわうぉおりあがええとおもいます。
脚本作者ピエール・オービュルナンの給仕クレマンが、主人の書斎の戸ぉを大切そうに開いた。	きゃくほんさくしゃぴええる・おおびゅるなんのきゅうじくれまんが、しゅじんのしょさいのとおおたいせつそおにひらいた。
われわれは、天主教徒か長老教会派のもので、天主教徒が多数を占めとる。	われわれわ、てんしゅきょおとかちょおろおきょおかいはのもので、てんしゅきょおとがたすうおしめとる。
結局のところお互い五十歩百歩や。	けっきょくのところおたがいごじっぽひゃっぽや。
突拍子もない話やけど、決して嘘やない。	とっぴょおしもないはなしやけど、けっしてうそやない。
切れ味鋭いペティナイフは使い勝手がええ。	きれあじするどいぺてぃないふわつかいがってがええ。
クレンペ教頭は無骨な男やが、自分の学問の秘密には深く浸っとった。	くれんぺきょおとおわぶこつなおとこやが、じぶんのがくもんのひみつにわふかくひたっとった。
グニャグニャが無理やからタコいらうの嫌いやねん。	ぐにゃぐにゃがむりやからたこいらうのきらいやねん。
私らは、抽象的意識的自己を否定することで、ほんまの自己とは身心一如やということを知る。	わたしらわ、ちゅうしょおてきいしきてきじこおひてえすることで、ほんまのじことわしんじんいちにょやとゆうことおしる。
鹿島明神が釘で刺し貫いて、魚が動かんようにしとる。	かしまみょおじんがくぎでさしつらぬいて、さかながうごかんよおにしとる。
がいなうれしそうにしてぴょんぴょん跳ねて出てったで。	とてもうれしそおにぴょんぴょんはねてでてった。
二分だけのオルガン演奏で終わってしもた。	にふんだけのおるがんえんそおでおわってしもた。
おもろいけど、ニセ教会に騙されたらあかんやろ。	おもろいけど、にせきょおかいにだまされたらあかんやろ。
およそ百年前には、薬剤として薬屋で売っとった。	およそひゃくねんまえにわ、やくざいとしてくすりやでうっとった。
いっそ脚本家を目指した方がええかとも考えた。	いっそきゃくほんかおめざしたほおがええかともかんがえた。
この書物に誤謬があっても、純一であらへん何ものにもインフェクトせぇへんやろ。	このしょもつにごびゅうがあっても、じゅんいつであらへんなにものにもいんふぇくとせえへんやろ。
仏教はインド由来の宗教や。	ぶっきょおわいんどゆらいのしゅうきょおや。
三角関数においてピュタゴラスの定理は必須や。	さんかくかんすうにおいてぴゅたごらすのてえりわひっすや。
著名なラニョン博士が患者と接しとった。	ちょめえならにょんはかせがかんじゃとせっしとった。
おもちゃの刀を持った少年が、お百度石に寄りかかっとる。	おもちゃのかたなおもったしょおねんが、おひゃくどいしによりかかっとる。
食料の補給が急務やと伝えられた。	しょくりょおのほきゅうがきゅうむやとつたえられた。
展示会であの作品のみ不評やった。	てんじかいであのさくひんのみふひょおやった。
客人をもてなすのは当然や。	きゃくじんおもてなすのわとおぜんや。
旅行客が楽しめるように工夫したろ。	りょこおきゃくがたのしめるよおにくふうしたろ。
こんなアホみたいなニュースあろかれ。	こんなあほみたいなにゅうすあろかれ。
ちっさい星をぎょうさん描いた、水飲みグラスはよぉある。	ちっさいほしおぎょおさんえがいた、みずのみぐらすわよおある。
柄は、猫の尻尾みたいに、尖端をぶるぶると震わせながら、動いてく。	えわ、ねこのしっぽみたいに、せんたんおぶるぶるとふるわせながら、うごいてく。
店始めた時はなぁ、プリンがいっちゃん売れとってん。	みせはじめたときわなあ、ぷりんがいっちゃんうれとってん。
ロナルドホープ大尉が大将のマンションへ急行したんや。	ろなるどほおぷたいいがたいしょおのまんしょんえきゅうこおしたんや。
日刊センティナル紙のヘプバンや。	にっかんせんてぃなるしのへぷばんや。
この宝石は、一個百万円以上のお値段です。	このほおせきわ、いっこひゃくまんえんいじょのおねだんです。
チョウチョと仲良くなるんやから。	ちょおちょとなかよくなるんやから。
宇宙では、エントロピーは無際限に増大しとる。	うちゅうでわ、えんとろぴいわむさいげんにぞおだいしとる。
頼むで話さして貰えんやろか。	たのむではなしさしてもらえんやろか。
お隣さんが蒟蒻を持ってきはる。	おとなりさんがこんにゃくおもってきはる。
パーティーは楽しむもんです。	ぱあてぃいわたのしむもんです。
おてつってでっかぁ書かれた番茶茶碗は、これらの人々の前に置かれた。	おてつってでっかあかかれたばんちゃぢゃわんわ、これらのひとびとのまえにおかれた。
私のポケットの中には携帯電話が入っとります。	わたしのぽけっとのなかにわけえたいでんわがはいっとります。
五行説による占いがあるっちゅう情報あり。	ごぎょおせつによるうらないがあるっちゅうじょおほおあり。
テンプル君、既に真逆やってゆうた。	てんぷるくん、すでにまぎゃくやってゆうた。
アンソニー・ホプキンスは有名な俳優や。	あんそにい・ほぷきんすわゆうめえなはいゆうや。
茶一つ参らんか、まあええで。	ちゃひとつまいらんか、まあええで。
ほんまボヤだけですんでよかったなぁ。	ほんまぼやだけですんでよかったなあ。
モンタギュ・ゴーシ卿がマンチェスターに来はった。	もんたぎゅ・ごおしきょおがまんちぇすたあにきはった。
これぁお祭りを若いもんに見せるにゃ持ってこいっちゅうやつや。	これあおまつりおわかいもんにみせるにゃもってこいっちゅうやつや。
ムニャムニャ、もう食われへん。	むにゃむにゃ、もおくわれへん。
満洲は雨季以外には雨はそんな降らへんって言うとるけど、あしが満洲におるとっきゃ、大戦中やったからかもしれんけど、えらい雨あ多かった。	まんしゅうわうきいがいにわあめわそんなふらへんってゆうとるけど、あしがまんしゅうにおるとっきゃ、たいせんちゅうやったからかもしれんけど、えらいあめあおおかった。
均一居酒屋やったら一番よぉ売れても二人で八千円くらいやろな。	きんいついざかややったらいちばんよおうれてもふたりではっせんえんくらいやろな。
願いをかなえたる。	ねがいおかなえたる。
最初しんどかったけど、花も園芸も好きやったし、失意が癒やされんこともないなぁ。	さいしょしんどかったけど、はなやえんげいがすきやったし、しついがいやされんこともないなあ。
ペピス爺さんはまぁ寝るらしいで。	ぺぴすじいさんわまぁねるらしいで。
はよウィルキンソンを呼びに行かんかい。	はようぃるきんそんおよびにいかんかい。
お昼前ジャスパーさんとこへ再びお邪魔しました。	おひるまえじゃすぱあさんとこえふたたびおじゃましました。
必要なミョウバンの量はプリントに書いてあるさかい。	ひつよおなみょおばんのりょおわぷりんとにかいてあるさかい。
笑いかけもって一二歩近寄った。	わらいかけもっていちにほちかよった。
地表を緑化して、温暖化を抑止する能力を強ぉする。	ちひょおおりょくかして、おんだんかおよくしするのおりょくおつよぉする。
ハサミでプツッと切った切れ端をペットにやった	はさみでぷつっときったきれはしおぺっとにやった
プレゼントをギャロウェイさんに渡したってくれ。	ぷれぜんとおぎゃろうぇえさんにわたしたってくれ。
ケプラーの法則について直接私に聞いてきよった。	けぷらあのほおそくについてちょくせつわたしにきいてきよった。
ウェンディーズはハンバーガー屋さんやし。	うぇんでぃいずわはんばあがあやさんやし。
しかし氷河はアルプスだけにあるもんやない。	しかしひょおがわあるぷすだけにあるもんやない。
この先百年も抹茶は衰退せぇへん。	このさきひゃくねんもまっちゃわすいたいせぇへん。
自分を評価するんは会社であって、あんまりちょけたことしとったら失脚につながるっちゅうことや。	じぶんおひょおかするんわかいしゃであって、あんまりちょけたことしとったらしっきゃくにつながるっちゅうことや。
夜に吹く風のヒュウヒュウいう音が私を不安にさせる。	よるにふくかぜのひゅうひゅうゆうおとがわたしおふあんにさせる。
グレンエルギンはウィスキーの蒸留所や。	ぐれんえるぎんわうぃすきいのじょおりゅうじょや。
連中はリビングでぺちゃくちゃ喋って、警戒しとらへん。	れんちゅうわりびんぐでぺちゃくちゃしゃべって、けえかいしとらへん。
あいつの言うことはなんちゅうか妙な感じがあらへんか。	あいつのゆうことわなんちゅうかみょおなかんじがあらへんか。
この事業所はなぁ、百人以上の人が勤めとってん。	このじぎょおしょわなあ、ひゃくにんいじょおのひとがつとめとってん。
わたしの家だけやなく、近所の住居といわず、商店といわず、バラックの家々はみんな草花を植えとる。	わたしのうちだけやなく、きんじょのじゅうきょといわず、しょおてんといわず、ばらっくのいえいえわみんなくさばなおうえとる。
どのみちあしは馬の世話をしたらなあかんで、外行こか。	どのみちあしわうまのせわおしたらなあかんで、そといこか。
ヤン・セチャンっちゅうお笑い芸人。	やん・せちゃんっちゅうおわらいげいにん。
雨がぽつぽつときとる。	あめがぽつぽつときとる。
ペリウィンクルやプランティンはブルーアイや。	ぺりうぃんくるやぷらんてぃんわぶるうあいや。
姫や侍女たちが、キンポウゲやタンポポの花を持って、彼の方へ駆け寄ってった。	ひめやじじょたちが、きんぽおげやたんぽぽのはなおもって、かれのほおえかけよってった。
今の持ち札やとあがれんと終わる。	いまのもちふだやとあがれんとおわる。
勉強しとるで話しかけやんといてぇ。	べんきょおしとるではなしかけやんといてえ。
レパードの花壇が枯れきってもうた。	れぱあどのかだんがかれきってもおた。
取っつきにくい女中が三人おる。	とっつきにくいじょちゅうがさんにんおる。
卑怯もんは悪党や。	ひきょおもんわあくとおや。
急に海へ飛び込んだ。	きゅうにうみえとびこんだ。
仕事はよおけあります。	しごとわよおけあります。
葉巻パイプはありましたやろか。	はまきぱいぷわありましたやろか。
八百屋に行って百円で大根を買うた。	やおやにいってひゃくえんでだいこんおこおた。
般若っちゅうんは鬼女の能面の事や。	はんにゃっちゅうんわきじょののおめんのことや。
日本へ行くには船か飛行機が必要や。	にほんえいくにわふねかひこおきがひつよおや。
せやけどパーで回るんも難しい。	せやけどぱあでまわるんもむずかしい。
のぼせんよおに入浴するんはお湯の量と温度が大事。	のぼせんよおににゅうよくするんわおゆのりょおとおんどがだいじ。
鬼太郎くんは冗談半分でパチりにいって怪我した。	きたろおくんわじょおだんはんぶんでぱちりにいってけがした。
なんかおもっしゃいことしぃよんで。	なんかおもっしゃいことしいよんで。
私の病気は先天性なんや。	わたしのびょおきわせんてんせえなんや。
三国志の関羽っちゅう将軍はめっちゃ有名や。	さんごくしのかんうっちゅうしょおぐんわめっちゃゆうめえや。
どえらい仕事やけど辛抱しとる。	どえらいしごとやけどしんぼおしとる。
町の女房らしい二人連れが、日傘を持って入ってきよった。	まちのにょおぼうらしいふたりづれが、ひがさおもってはいってきよった。
名をツァウォツキイというた。	なおつぁうぉつきいというた。
お母ちゃんがビックリ仰天したのも無理はあらへん。	おかあちゃんがびっくりぎょおてんしたのもむりわあらへん。
セファドールはめまいを抑える薬や。	せふぁどおるわめまいおおさえるくすりや。
明の一訓詁学者は、宋代典籍の一つにあげとる茶せんの形状を思い起こすに苦しんどる。	みんのいちくんこがくしゃわ、そおだいてんせきのひとつにあげとるちゃせんのけえじょおおおもいおこすにくるしんどる。
深海魚は見た目はアレやけど食うてみたら旨いことが多い。	しんかいぎょわみためわあれやけどくうてみたらうまいことがおおい。
確かに牛乳とコーンフレークの相性は抜群や。	たしかにぎゅうにゅうとこおんふれえくのあいしょおわばつぐんや。
その一は、明治三十七年の九月八日か九日の夜とおぼえとる。	そのいちわ、めえじさんじゅうななねんのくがつよおかかここのかのよるとおぼえとる。
マルメゾンの店主はジェシーとは仲良しや。	まるめぞんのてんしゅわじぇしいとわなかよしや。
最新鋭機に乗り込んでもた。	さいしんええきにのりこんでもた。
誰かが後ろへ来て、変な声で叫びよったのでぞっとした。	だれかがうしろえきて、へんなこえでさけびよったのでぞっとした。
おおでらの石段の前へ立ち止まって、その出て来るんを待ちあわせた。	おおでらのいしだんのまええたちどまって、そのでてくるんおまちあわせた。
犯人がどっちの部屋へ入ったかわからへん。	はんにんがどっちのへやえはいったかわからへん。
