女の子がキッキッ嬉しそうや。	おんなのこがきっきっうれしそおや。
いつもの通りギャンギャン泣き出しよった。	いつものとおりぎゃんぎゃんなきだしよった。
先生は、立ったままニュースを見とりました。	せんせえわ、たったままにゅうすおみとりました。
私はギョッと目ぇを見開いた。	わたしわぎょっとめえおみひらいた。
せや、最近きやへん友達へニューイヤーカードを送ったろ。	せや、さいきんきやへんともだちえにゅういやあかあどおおくったろ。
家政婦は休みに洒落たアウターウェアに身を包み一人で屋台を楽しんだ。	かせえふわやすみにしゃれたあうたあうぇあにみおつつみひとりでやたいおたのしんだ。
ウォッカのお供には塩漬けのきゅうりがあうで。	うぉっかのおともにわしおづけのきゅうりがあうで。
山の向こうのミュンヒェンの人らぁが攻撃をしかけた。	やまのむこおのみゅんひぇんのひとらあがこおげきおしかけた。
ボスニア国境からの攻撃により、十一月にヴァリェヴォが占領された。	ぼすにあこっきょおからのこおげきにより、じゅういちがつにヴぁりぇヴぉがせんりょおされた。
シルヴィウスはデュボアと呼ばれとったフランスのユグノーの家に生まれた。	しるヴぃうすわでゅぼあとよばれとったふらんすのゆぐのおのいえにうまれた。
そのほかにあたしに出来ることはなかったんです、百合枝は涙声んなった。	そのほかにわたしにできることわなかったんです、ゆりえわなみだごえになった。
ガル博士百体近く。	がるはかせひゃくたいちかく。
日本政府からの百兆円を超える予算要求。	にほんせえふからのひゃくちょおえんおこえるよさんよおきゅう。
写経の美しさに私は仰天してしもおた。	しゃきょおのうつくしさにわたしわぎょおてんしてしもおた。
ソプラノ歌手ポリランダチョは歌劇アイーダの特別名歌手と評判や。	そぷらのかしゅぽりらんだちょわかげきあいいだのとくべつめえかしゅとひょおばんや。
あんた最初百ポンド渡したやろ、足りやんのか、がめついなぁあんたもぉ。	あんたさいしょひゃくぽんどわたしたやろ、たりやんのか、がめついなああんたもお。
社長がしたってくれ言うたはったでなぁ。	しゃちょおがしたってくれゆうたはったでなあ。
どうも気まぐれっちゅうもんは多少メフィスティックなもんであるらしい。	どおもきまぐれっちゅうもんわたしょおめふぃすてぃっくなもんであるらしい。
蛙がピョコピョコ飛び回っとります。	かえるがぴょこぴょことびまわっとります。
魔境に足を踏み入れる。	まきょおにあしおふみいれる。
ヴァンダーヴォットタイム中は、いわゆるパーティーのようで晴れやかや。	ヴぁんだあヴぉっとたいむちゅうわ、いわゆるぱあてぃいのよおではれやかや。
スピリッツっちゅうんは蒸留酒の事です。	すぴりっつっちゅうんわじょおりゅうしゅのことです。
ヌルシアのベネディクトゥスはアポロン神殿を壊し、ベネディクト会の修道院を建てた。	ぬるしあのべねでぃくとぅすわあぽろんしんでんおこわし、べねでぃくとかいのしゅうどおいんおたてた。
ちょうどそんとき、デストゥパーゴがコップをもって立ちあがりました。	ちょおどそんとき、ですとぅぱあごがこっぷおもってたちあがりました。
パフィーのグッズが残らんと部屋に落ち着いた。	ぱふぃいのぐっずがのこらんとへやにおちついた。
エピファーノフは財布どっかやったった。	えぴふぁあのふわさいふおなくした。
ポピュラーなソフトを使てセキュアな状態を復旧する。	ぽぴゅらあなそふとおつこてせきゅあなじょおたいおふっきゅうする。
チョコの在庫あったやろか？	ちょこのざいこあったやろか？
おめえ、これ仕込んだるのに、どんだけ時間かかるか知っとるか。	おめえ、これしこんだるのに、どんだけじかんかかるかしっとるか。
それに、このほうが体のためにゃずっとええんやからね。	それに、このほおがからだのためにゃずっとええんやからね。
夏休みに、トラアヴェミュンへ旅行した。	なつやすみに、とらあヴぇみゅんえりょこおした。
ここで一緒にウェイクフィールドの叔母を待った。	ここでいっしょにうぇいくふぃいるどのおばおまった。
八つになるウォルターと一緒に出た兄弟がおったが、ウォルターだけ発見された。	やっつになるうぉるたあといっしょにでたきょおだいがおったが、うぉるたあだけはっけんされた。
最初のジョブはウォーリアがええと思います。	さいしょのじょぶわうぉおりあがええとおもいます。
およそ六百メートル先を右折です。	およそろっぴゃくめえとるさきおうせつです。
新店オープンのレセプションに沢山のお客さんを招待した。	しんてんおおぷんのれせぷしょんにたくさんのおきゃくさんおしょおたいした。
脚本作者ピエール・オービュルナンの給仕クレマンが、主人の書斎の戸ぉを大切そうに開いた。	きゃくほんさくしゃぴええる・おおびゅるなんのきゅうじくれまんが、しゅじんのしょさいのとおおたいせつそおにひらいた。
われわれは、天主教徒か長老教会派のもので、天主教徒が多数を占めとる。	われわれわ、てんしゅきょおとかちょおろおきょおかいはのもので、てんしゅきょおとがたすうおしめとる。
結局のところお互い五十歩百歩や。	けっきょくのところおたがいごじっぽひゃっぽや。
突拍子もない話やけど、決して嘘やない。	とっぴょおしもないはなしやけど、けっしてうそやない。
ネットで懸案の解決を目指す。	ねっとでけんあんのかいけつおめざす。
切れ味鋭いペティナイフは使い勝手がええ。	きれあじするどいぺてぃないふわつかいがってがええ。
指をくわえてぴゅーと一声口笛を吹いた。	ゆびおくわえてぴゅうといっせえくちぶえおふいた。
クレンペ教頭は無骨な男やが、自分の学問の秘密には深く浸っとった。	くれんぺきょおとおわぶこつなおとこやが、じぶんのがくもんのひみつにわふかくひたっとった。
尻尾ふりたて、ひげくいそらす。	しっぽふりたて、ひげくいそらす。
すべての獲物を望みどおりに狙う技術がある。	すべてのえものおのぞみどおりにねらうぎじゅつがある。
グニャグニャが無理やからタコいらうの嫌いやねん。	ぐにゃぐにゃがむりやからたこいらうのきらいやねん。
私らは、抽象的意識的自己を否定することで、ほんまの自己とは身心一如やということを知る。	わたしらわ、ちゅうしょおてきいしきてきじこおひてえすることで、ほんまのじことわしんじんいちにょやとゆうことおしる。
鹿島明神が釘で刺し貫いて、魚が動かんようにしとる。	かしまみょおじんがくぎでさしつらぬいて、さかながうごかんよおにしとる。
私は手始めに、同業者から話を聞く努力をした。	わたしわてはじめに、どおぎょおしゃからはなしおきくどりょくおした。
がいなうれしそうにしてぴょんぴょん跳ねて出てったで。	とてもうれしそおにぴょんぴょんはねてでてった。
二分だけのオルガン演奏で終わってしもた。	にふんだけのおるがんえんそおでおわってしもた。
おもろいけど、ニセ教会に騙されたらあかんやろ。	おもろいけど、にせきょおかいにだまされたらあかんやろ。
およそ百年前には、薬剤として薬屋で売っとった。	およそひゃくねんまえにわ、やくざいとしてくすりやでうっとった。
いっそ脚本家を目指した方がええかとも考えた。	いっそきゃくほんかおめざしたほおがええかともかんがえた。
この書物に誤謬があっても、純一であらへん何ものにもインフェクトせぇへんやろ。	このしょもつにごびゅうがあっても、じゅんいつであらへんなにものにもいんふぇくとせえへんやろ。
仏教はインド由来の宗教や。	ぶっきょおわいんどゆらいのしゅうきょおや。
キャリーバッグは旅行に必須。	きゃりいばっぐわりょこおにひっす。
本番前はメチャメチャ不安になる。	ほんばんまえわめちゃめちゃふあんになる。
三角関数においてピュタゴラスの定理は必須や。	さんかくかんすうにおいてぴゅたごらすのてえりわひっすや。
著名なラニョン博士が患者と接しとった。	ちょめえならにょんはかせがかんじゃとせっしとった。
おもちゃの刀を持った少年が、お百度石に寄りかかっとる。	おもちゃのかたなおもったしょおねんが、おひゃくどいしによりかかっとる。
食料の補給が急務やと伝えられた。	しょくりょおのほきゅうがきゅうむやとつたえられた。
展示会であの作品のみ不評やった。	てんじかいであのさくひんのみふひょおやった。
客人をもてなすのは当然や。	きゃくじんおもてなすのわとおぜんや。
旅行客が楽しめるように工夫したろ。	りょこおきゃくがたのしめるよおにくふうしたろ。
こんなアホみたいなニュースあろかれ。	こんなあほみたいなにゅうすあろかれ。
ちっさい星をぎょうさん描いた、水飲みグラスはよぉある。	ちっさいほしおぎょおさんえがいた、みずのみぐらすわよおある。
柄は、猫の尻尾みたいに、尖端をぶるぶると震わせながら、動いてく。	えわ、ねこのしっぽみたいに、せんたんおぶるぶるとふるわせながら、うごいてく。
店始めた時はなぁ、プリンがいっちゃん売れとってん。	みせはじめたときわなあ、ぷりんがいっちゃんうれとってん。
ロナルドホープ大尉が大将のマンションへ急行したんや。	ろなるどほおぷたいいがたいしょおのまんしょんえきゅうこおしたんや。
日刊センティナル紙のヘプバンや。	にっかんせんてぃなるしのへぷばんや。
この宝石は、一個百万円以上のお値段です。	このほおせきわ、いっこひゃくまんえんいじょのおねだんです。
チョウチョと仲良くなるんやから。	ちょおちょとなかよくなるんやから。
宇宙では、エントロピーは無際限に増大しとる。	うちゅうでわ、えんとろぴいわむさいげんにぞおだいしとる。
川の中流に集落がある。	かわのちゅうりゅうにしゅうらくがある。
頼むで話さして貰えんやろか。	たのむではなしさしてもらえんやろか。
お隣さんが蒟蒻を持ってきはる。	おとなりさんがこんにゃくおもってきはる。
パーティーは楽しむもんです。	ぱあてぃいわたのしむもんです。
おてつってでっかぁ書かれた番茶茶碗は、これらの人々の前に置かれた。	おてつってでっかあかかれたばんちゃぢゃわんわ、これらのひとびとのまえにおかれた。
私のポケットの中には携帯電話が入っとります。	わたしのぽけっとのなかにわけえたいでんわがはいっとります。
彼は今度は牧場へ行って、沼地で小悪魔の尻尾一つ見つけました。	かれわこんどわぼくじょおえいって、ぬまちでこあくまのしっぽひとつみつけました。
五行説による占いがあるっちゅう情報あり。	ごぎょおせつによるうらないがあるっちゅうじょおほおあり。
テンプル君、既に真逆やってゆうた。	てんぷるくん、すでにまぎゃくやってゆうた。
世界中の様々なモニュメントを訪ね歩いた。	せかいじゅうのさまざまなもにゅめんとおたずねあるいた。
アンソニー・ホプキンスは有名な俳優や。	あんそにい・ほぷきんすわゆうめえなはいゆうや。
彼女は出来るだけぴったりと耳をあてて聴きました。	かのじょわできるだけぴったりとみみおあててききました。
茶一つ参らんか、まあええで。	ちゃひとつまいらんか、まあええで。
ほんまボヤだけですんでよかったなぁ。	ほんまぼやだけですんでよかったなあ。
モンタギュ・ゴーシ卿がマンチェスターに来はった。	もんたぎゅ・ごおしきょおがまんちぇすたあにきはった。
ウィスキーの水割りをガッツリ飲んだ。	うぃすきいのみずわりおがっつりのんだ。
これぁお祭りを若いもんに見せるにゃ持ってこいっちゅうやつや。	これあおまつりおわかいもんにみせるにゃもってこいっちゅうやつや。
私はイメージカラーをピンクに決めた。	わたしわいめえじからあおぴんくにきめた。
ムニャムニャ、もう食われへん。	むにゃむにゃ、もおくわれへん。
満洲は雨季以外には雨はそんな降らへんって言うとるけど、あしが満洲におるとっきゃ、大戦中やったからかもしれんけど、えらい雨あ多かった。	まんしゅうわうきいがいにわあめわそんなふらへんってゆうとるけど、あしがまんしゅうにおるとっきゃ、たいせんちゅうやったからかもしれんけど、えらいあめあおおかった。
均一居酒屋やったら一番よぉ売れても二人で八千円くらいやろな。	きんいついざかややったらいちばんよおうれてもふたりではっせんえんくらいやろな。
願いをかなえたる。	ねがいおかなえたる。
最初しんどかったけど、花も園芸も好きやったし、失意が癒やされんこともないなぁ。	さいしょしんどかったけど、はなやえんげいがすきやったし、しついがいやされんこともないなあ。
ペピス爺さんはまぁ寝るらしいで。	ぺぴすじいさんわまぁねるらしいで。
はよウィルキンソンを呼びに行かんかい。	はようぃるきんそんおよびにいかんかい。
お昼前ジャスパーさんとこへ再びお邪魔しました。	おひるまえじゃすぱあさんとこえふたたびおじゃましました。
その竜の百の頭が恐ろしい。	そのりゅうのひゃくのあたまがおそろしい。
必要なミョウバンの量はプリントに書いてあるさかい。	ひつよおなみょおばんのりょおわぷりんとにかいてあるさかい。
マリー・ロジェはパヴェサンタンの家を出た。	まりい・ろじぇわぱヴぇさんたんのいえおでた。
読み進むにつれ、ますます興味が湧いた。	よみすすむにつれ、ますますきょおみがわいた。
笑いかけもって一二歩近寄った。	わらいかけもっていちにほちかよった。
地表を緑化して、温暖化を抑止する能力を強ぉする。	ちひょおおりょくかして、おんだんかおよくしするのおりょくおつよぉする。
ハサミでプツッと切った切れ端をペットにやった	はさみでぷつっときったきれはしおぺっとにやった
ホームランを打つ。	ほおむらんおうつ。
プレゼントをギャロウェイさんに渡したってくれ。	ぷれぜんとおぎゃろうぇえさんにわたしたってくれ。
ケプラーの法則について直接私に聞いてきよった。	けぷらあのほおそくについてちょくせつわたしにきいてきよった。
ウェンディーズはハンバーガー屋さんやし。	うぇんでぃいずわはんばあがあやさんやし。
しかし氷河はアルプスだけにあるもんやない。	しかしひょおがわあるぷすだけにあるもんやない。
この先百年も抹茶は衰退せぇへん。	このさきひゃくねんもまっちゃわすいたいせぇへん。
自分を評価するんは会社であって、あんまりちょけたことしとったら失脚につながるっちゅうことや。	じぶんおひょおかするんわかいしゃであって、あんまりちょけたことしとったらしっきゃくにつながるっちゅうことや。
夜に吹く風のヒュウヒュウいう音が私を不安にさせる。	よるにふくかぜのひゅうひゅうゆうおとがわたしおふあんにさせる。
可愛い華奢な女の子。	かわいいきゃしゃなおんなのこ。
水中の金魚をすくうためのポイ。	すいちゅうのきんぎょおすくうためのぽい。
グレンエルギンはウィスキーの蒸留所や。	ぐれんえるぎんわうぃすきいのじょおりゅうじょや。
一寸法師が、ヒョコヒョコと彼の方へ近づいた。	いっすんぼうしが、ひょこひょことかれのほおえちかづいた。
連中はリビングでぺちゃくちゃ喋って、警戒しとらへん。	れんちゅうわりびんぐでぺちゃくちゃしゃべって、けえかいしとらへん。
平一郎はシャツ一枚になって絹物の布団の中へ潜りこんだ。	へえいちろおわしゃついちまいになってきぬもののふとんのなかえもぐりこんだ。
下京区に引っ越す。	しもぎょおくにひっこす。
あいつの言うことはなんちゅうか妙な感じがあらへんか。	あいつのゆうことわなんちゅうかみょおなかんじがあらへんか。
この事業所はなぁ、百人以上の人が勤めとってん。	このじぎょおしょわなあ、ひゃくにんいじょおのひとがつとめとってん。
わたしの家だけやなく、近所の住居といわず、商店といわず、バラックの家々はみんな草花を植えとる。	わたしのうちだけやなく、きんじょのじゅうきょといわず、しょおてんといわず、ばらっくのいえいえわみんなくさばなおうえとる。
どのみちあしは馬の世話をしたらなあかんで、外行こか。	どのみちあしわうまのせわおしたらなあかんで、そといこか。
ヤン・セチャンっちゅうお笑い芸人。	やん・せちゃんっちゅうおわらいげいにん。
男が妙な顔をして、一瞬残忍になった。	おとこがみょおなかおおして、いっしゅんざんにんになった。
普及活動に幻滅した。	ふきゅうかつどおにげんめつした。
雨がぽつぽつときとる。	あめがぽつぽつときとる。
ペリウィンクルやプランティンはブルーアイや。	ぺりうぃんくるやぷらんてぃんわぶるうあいや。
姫や侍女たちが、キンポウゲやタンポポの花を持って、彼の方へ駆け寄ってった。	ひめやじじょたちが、きんぽおげやたんぽぽのはなおもって、かれのほおえかけよってった。
皆の協力のおかげで帰郷できた。	みなのきょおりょくのおかげでききょおできた。
ウォルターとウォードが入室すると、ノラが真っ赤になった。	うぉるたあとうぉおどがにゅうしつすると、のらがまっかになった。
今の持ち札やとあがれんと終わる。	いまのもちふだやとあがれんとおわる。
勉強しとるで話しかけやんといてぇ。	べんきょおしとるではなしかけやんといてえ。
レパードの花壇が枯れきってもうた。	れぱあどのかだんがかれきってもおた。
蒸留酒にミョウバンを加える。	じょおりゅうしゅにみょおばんおくわえる。
取っつきにくい女中が三人おる。	とっつきにくいじょちゅうがさんにんおる。
レインボーブリッジは東京の名所。	れいんぼおぶりっじわとおきょおのめえしょ。
卑怯もんは悪党や。	ひきょおもんわあくとおや。
急に海へ飛び込んだ。	きゅうにうみえとびこんだ。
仕事はよおけあります。	しごとわよおけあります。
葉巻パイプはありましたやろか。	はまきぱいぷわありましたやろか。
八百屋に行って百円で大根を買うた。	やおやにいってひゃくえんでだいこんおこおた。
般若っちゅうんは鬼女の能面の事や。	はんにゃっちゅうんわきじょののおめんのことや。
日本へ行くには船か飛行機が必要や。	にほんえいくにわふねかひこおきがひつよおや。
せやけどパーで回るんも難しい。	せやけどぱあでまわるんもむずかしい。
のぼせんよおに入浴するんはお湯の量と温度が大事。	のぼせんよおににゅうよくするんわおゆのりょおとおんどがだいじ。
鬼太郎くんは冗談半分でパチりにいって怪我した。	きたろおくんわじょおだんはんぶんでぱちりにいってけがした。
バーニ医師がピシッと答えた。	ばあにいしがぴしっとこたえた。
なんかおもっしゃいことしぃよんで。	なんかおもっしゃいことしいよんで。
私の病気は先天性なんや。	わたしのびょおきわせんてんせえなんや。
三国志の関羽っちゅう将軍はめっちゃ有名や。	さんごくしのかんうっちゅうしょおぐんわめっちゃゆうめえや。
どえらい仕事やけど辛抱しとる。	どえらいしごとやけどしんぼおしとる。
町の女房らしい二人連れが、日傘を持って入ってきよった。	まちのにょおぼうらしいふたりづれが、ひがさおもってはいってきよった。
名をツァウォツキイというた。	なおつぁうぉつきいというた。
飲み会の参加を拒否した。	のみかいのさんかおきょひした。
お母ちゃんがビックリ仰天したのも無理はあらへん。	おかあちゃんがびっくりぎょおてんしたのもむりわあらへん。
セファドールはめまいを抑える薬や。	せふぁどおるわめまいおおさえるくすりや。
明の一訓詁学者は、宋代典籍の一つにあげとる茶せんの形状を思い起こすに苦しんどる。	みんのいちくんこがくしゃわ、そおだいてんせきのひとつにあげとるちゃせんのけえじょおおおもいおこすにくるしんどる。
深海魚は見た目はアレやけど食うてみたら旨いことが多い。	しんかいぎょわみためわあれやけどくうてみたらうまいことがおおい。
ニューヨークでイヴニングポストの記事に注目した。	にゅうよおくでいヴにんぐぽすとのきじにちゅうもくした。
確かに牛乳とコーンフレークの相性は抜群や。	たしかにぎゅうにゅうとこおんふれえくのあいしょおわばつぐんや。
その一は、明治三十七年の九月八日か九日の夜とおぼえとる。	そのいちわ、めえじさんじゅうななねんのくがつよおかかここのかのよるとおぼえとる。
マルメゾンの店主はジェシーとは仲良しや。	まるめぞんのてんしゅわじぇしいとわなかよしや。
釣竿を肩にかけた処士あり。	つりざおおかたにかけたしょしあり。
最新鋭機に乗り込んでもた。	さいしんええきにのりこんでもた。
誰かが後ろへ来て、変な声で叫びよったのでぞっとした。	だれかがうしろえきて、へんなこえでさけびよったのでぞっとした。
おおでらの石段の前へ立ち止まって、その出て来るんを待ちあわせた。	おおでらのいしだんのまええたちどまって、そのでてくるんおまちあわせた。
未解決の懸案を持って重役と対峙する。	みかいけつのけんあんおもってじゅうやくとたいじする。
薄月の光が庭を照らす。	うすつきのひかりがにわおてらす。
犯人がどっちの部屋へ入ったかわからへん。	はんにんがどっちのへやえはいったかわからへん。
元々なんぼか川があってな、そん中の渓谷から出た氷河が一本に合流しててん。	もともとなんぼかかわがあってな、そんなかのけえこくからでたひょおががいっぽんにごおりゅうしててん。
ディスカッションを進める。	でぃすかっしょんおすすめる。
九頭竜明神を祭るために灯篭をながす。	くずりゅうみょおじんおまつるためにとおろおおながす。
今回の資料作りはめっちゃよぉ考えなあかんかったけど、こないだやっと終わった。	こんかいのしりょおづくりわめっちゃよおかんがえなあかんかったけど、こないだやっとおわった。
骨子をしっかりと組み立てる。	こっしおしっかりとくみたてる。
気球にのって空を楽しむ。	ききゅうにのってそらおたのしむ。
うどん屋の窯やないんやからまともなことの一つでも言うたらどうや。	うどんやのかまやないんやからまともなことのひとつでもゆうたらどおや。
あいつら幕のあいだに木戸の外散歩しとんねん。	あいつらまくのあいだにきどのそとおさんぽしとんねん。
過去の数々の奇病が治るようになりつつある。	かこのかずかずのきびょおがなおるよおになりつつある。
買うた人はポンプを直したらなあかんって事に気ぃついた。	こおにゅうしゃわぽんぷのしゅうりおせなあかんってことにきいついた。
あの子自身は、レジ業務をしぃたいと思とるみたいやで。	あのこじしんわ、れじぎょおむおしいたいとおもとるみたいやで。
地毛は金色なんや。	じげわきんいろなんや。
鉛筆は折れやすぅてかなんわ。	えんぴつわおれやすうてかなんわ。
ヒポクラテスは医学の父いうて呼ばれとります。	ひぽくらてすわいがくのちちゆうてよばれとります。
せやけど商人は、国ざかいのすぐ近くへ住みよって、やっぱり前と同じようにやりよる。	せやけどしょおにんわ、くにざかいのすぐちかくえすみよって、やっぱりまえとおなじよおにやりよる。
今まで明るかった二階の窓は、いきなりまっくらになってもうた。	いままであかるかったにかいのまどわ、いきなりまっくらになってもおた。
アスファルトに囲まれた中にケヤキの木ぃが一本。	あすふぁるとにかこまれたなかにけやきのきいがいっぽん。
名札を用意する。	なふだおよおいする。
マッチョな男性はモテるらしいで。	まっちょなだんせえわもてるらしいで。
社務所の人が言うとったんは嘘やあらへんかった。	しゃむしょのひとのはなしにうそわあらへんかった。
行楽シーズンの京都は人でごった返しとる。	こおらくしいずんのきょおとわひとでごったがえしとる。
どっからかパチパチと音が聞こえる。	どっからかぱちぱちとおとがきこえる。
プロ野球はどのチームが優勝するやろか？	ぷろやきゅうわどのちいむがゆうしょおするやろか？
せやけど、これやったらまるで私が誘拐しましたと自首して出るようなもんで、そんなアホなことをするやつはおらへん。	せやけど、これやったらまるでわたしがゆうかいしましたとじしゅしてでるよおなもんで、そんなあほなことおするやつはおらへん。
切望しぃつつ、主を待っとる。	せつぼうしいつつ、あるじおまっとる。
しばらくしたらパチパチっちゅう音もないなった。	しばらくしてぱちぱちというおともないなった。
身分をわきまえず放った狂言。	みぶんおわきまえずはなったきょおげん。
天を翔ける竜の姿は神秘的や。	てんおかけるりゅうのすがたわしんぴてきや。
私の精神と一脈相通じるものがあると思た。	わたしのせえしんといちみゃくあいつうじるものがあるとおもた。
皆も球場に行こ。	みんなもきゅうじょおにいこ。
コペルニクスはポーランドの天文学者や。	こぺるにくすわぽおらんどのてんもんがくしゃや。
海沿いの旅館は眺めがええ。	うみぞいのりょかんわながめがええ。
集中しとると周りが見えへんのねん。	しゅうちゅうするとまわりがみえへんのねん。
春木座は今日の本郷座や。	はるきざわこんにちのほんごおざや。
私の手ぇを引っ張るようにして、手のひらへくれよった。	わたしのてえおひっぱるよおにして、てのひらえくれよった。
北海の荒波は、その氷の絶壁の根を噛んで、激しく飛沫を散らしとる。	ほっかいのあらなみわ、そのこおりのぜっぺきのねおかんで、はげしくしぶきおちらしとる。
戦意を喪失させるんが勝利への近道。	せんいおそおしつさせるんがしょおりえのちかみち。
がちょうを飼う。	がちょおおかう。
ふぁふぁと笑いながら楽しく手拍子。	ふぁふぁとわらいながらたのしくてびょおし。
従軍記者は大尉相当の待遇を受ける。	じゅうぐんきしゃわたいいそおとおのたいぐうおうける。
茶碗にかかってまうくらい、シャツの袖がふくらかやから、掻き抱く体に茶碗を持った。	ちゃわんにかかるほど、しゃつのそでがふくらかやから、かきいだくてえにちゃわんおもった。
色々隠して今日まで犯人と一緒におる。	いろいろかくしてきょおまではんにんといっしょにおる。
浦子は寝ながら息を引いた。	うらこわねながらいきおひいた。
兄がはみごにされた。	あにがはみごにされた。
彼は不服そうに呟いた。	かれわふふくそおにつぶやいた。
パチモンばっかとちごて、ほんまもんのドイツ将校やら兵卒のヘルメットを売っとるのもあるんやわ。	ぱちもんばっかとちごて、ほんもののどいつしょおこおやらへえそつのへるめっとおうっとるのもあるんやわ。
彼女と一緒におるとほっこりする。	かのじょといっしょにおるとほっこりする。
困っとる人に向けて寄付をしたった。	こまっとるひとにむけてきふおしたった。
落ち込んどるんか、うつむいてじっとしとる。	おちこんどるんか、うつむいてじっとしとる。
改良が進むとパンはどんどんおいしなる。	かいりょおがすすむとぱんわどんどんおいしなる。
こないなことを言いもって、いらちなおじいさんは下駄を突っかけて、そそくさと出てってしもた。	こないなことおいいもって、いらちなおじいさんわげたおつっかけて、そそくさとでてってしもた。
彼女と初デートの今日は夢うつつ。	かのじょとはつでえとのきょおわゆめうつつ。
おんなじ東京の名をよぶにも、今後はおそらく旧東京と新東京とに区別されるやろう。	おんなじとおきょおのなおよぶにも、こんごわおそらくきゅうとおきょおとしんとおきょおとにくべつされるやろお。
腰振りを二分間続ける。	こしふりおにふんかんつづける。
腰抜けはどっかいってもうた。	こしぬけわどっかいってもおた。
絵葉書と一緒に銀色のルアーをマッシュに送った。	えはがきといっしょにぎんいろのるああおまっしゅにおくった。
オムライスにはケチャップが一番。	おむらいすにわけちゃっぷがいちばん。
ストレスは適度に発散したらなあかんよ。	すとれすわてきどにはっさんしましょお。
これがないと始まらへんでなぁ。	このひとよりぞはじまりける。
中学生ん時、避暑旅行中に体調を崩した。	ちゅうがくせえんとき、ひしょりょこおちゅうにたいちょおおくずした。
軍医は病院の門に入るのである。	ぐんいわびょおいんのもんにはいるのである。
一日中明るい白夜は、一切太陽が沈まへんことで起こります。	いちにちちゅうあかるいはびゃくやわ、いっさいたいよおがしずまへんことでおこります。
